sku,total_rows,distinct_locations,distinct_boxes,distinct_names,location_ids
SKU0393,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0394,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0395,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0396,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0397,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0398,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0399,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0400,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0401,8,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7 | [null]
SKU0001,7,7,1,1,cmlgo8w1z0000zvy5mwo8wc8k | cmnfr2q9u0b93xks32yg0ywqm | cmnqd3kds000jwo0wsq67se2k | cmnqd45qb01auwo0wbxjb20fx | cmnqd4okv02l5wo0wiq5oxilw | cmnr5cl6407shys0pz1pykii8 | cmnsobvxt000q77spq4tb1hx7
