sku,name,unit,unitCost
SKU0006,110MM ARMAFLEX,m,180
SKU0007,130 X 16MM PVC PIPE,m,95
SKU0010,1M X 25MM STRAP,m,35
SKU0021,4.75M X 25MM STRAP,m,120
SKU0026,CONN - 6MM T-PIECE (FESTO),pcs,85
SKU0058,CAP 10nF 63V ALT,pcs,2
SKU0132,FET 2N7002,pcs,4
SKU0135,FS 01 USER MANUAL,pcs,25
SKU0206,M12 X 1.5 FASTNER,pcs,18
SKU0290,RES 0R 39,pcs,1.5
SKU0319,RES 1R2 50W,pcs,65
SKU0320,RES 1R2 5W,pcs,8
SKU0329,RES 27R 0603,pcs,0.4
SKU0353,RES 6K8-0603,pcs,0.4
SKU0393,DEUTSCH MALE SIZE 16 14AWG GREEN RING PIN,pcs,18
SKU0394,DEUTSCH FEMALE SIZE 16 16-20 AWG GREEN RING SOCKET,pcs,18
SKU0400,PCB - FUEL TRACK MKII FRONT DISPLAY TOP REV 5,pcs,650
SKU0409,FINAL PRODUCT - FUEL TRACK MKII REV 7,pcs,
SKU0410,FINAL PRODUCT - FUEL TRACK MKII LED CARD REV8,pcs,
SKU0411,FINAL PRODUCT - FUEL TRACK MKII FRONT DISPLAY TOP REV 5,pcs,
SKU0412,FINAL PRODUCT - NOZZLE TRACK MK1 REV 8,pcs,
SKU0413,FINAL PRODUCT - NOZZLE TRACK BATTERY REV 5,pcs,
SKU0414,FINAL PRODUCT - NOZZLE TRACK LED REV 1,pcs,
SKU0415,FINAL PRODUCT - FS01,pcs,
SKU0416,RES 10R 2W Wire Wound (FS01),pcs,4
SKU0417,LED LUR3833 5MM RED SUPERBRIGHT,pcs,2.5
SKU0482,PHONE - SCREEN PROTECTOR (P30),pcs,80
SKU0483,PNEUMATICS - SOLENOID VALVE 1 INCH,pcs,2900
SKU0485,REL - 24V HEAVY DUTY,pcs,180
SKU0488,MOLEX 2.4/5GHz 146153,pcs,95
SKU0489,2u2 25 VOLT FS01,pcs,3
SKU0493,NCP5510DT50G 5V - OBSOLETE (DONT ADD TO INVENTORY LIST),pcs,18
SKU0495,LED 5MM,pcs,1.5
SKU0496,Resistor Thick Film 060360r4,pcs,0.5
SKU0503,FUSE - 2AM 250,pcs,6
SKU0512,CONN - T-PIECE 4X4,pcs,40
SKU0513,CONN - STRAIGHT 6X6,pcs,30
SKU0514,CONN - STRAIGHT 4X4,pcs,25
SKU0515,CONN - STRAIGHT 6X4,pcs,28
SKU0517,Silver Spacer 3mm,pcs,3
SKU0521,IC SOCKET (WT),pcs,8
SKU0523,CONN USB 19252,pcs,18
SKU0524,CONN DT04 4PIN FEMALE BLACK - CHASSIS MT,pcs,95
SKU0529,MOLEX 2.4/5GHz 146153,pcs,95
SKU0530,2u2 25 VOLT FS01,pcs,3
SKU0534,NCP5510DT50G 5V - OBSOLETE (DONT ADD TO INVENTORY LIST),pcs,18
SKU0536,LED 5MM,pcs,1.5
SKU0537,Resistor Thick Film 060360r4,pcs,0.5
SKU0544,FUSE - 2AM 250,pcs,6
SKU0553,CONN - T-PIECE 4X4,pcs,40
SKU0554,CONN - STRAIGHT 6X6,pcs,30
SKU0555,CONN - STRAIGHT 4X4,pcs,25
SKU0556,CONN - STRAIGHT 6X4,pcs,28
SKU0558,Silver Spacer 3mm,pcs,3
SKU0562,IC SOCKET (WT),pcs,8
SKU0564,CONN USB 19252,pcs,18
SKU0565,CONN DT04 4PIN FEMALE BLACK - CHASSIS MT,pcs,95
SKU428,PNEUMATICS - SOLENOID PLUG DC,pcs,120
SKU429,PNEUMATICS - PIUSI FLOW METER K600/4 1.1/2,pcs,12500
SKU430,PNEUMATICS - PIUSI FLOW METER K600B/3 DIGITAL,pcs,11000
SKU431,PNEUMATICS - PIUSI FLOW METER K600/3 1 INCH,pcs,6000
SKU432,PNEUMATICS - ELTOMATIC READER,pcs,2800
SKU433,CONN - DEUTSCH DT SERIES FEMALE CONNECTOR KITS,pcs,220
SKU434,CONN - Amphenol Industrial 12 Way Plug Female,pcs,180
SKU435,RELAY HOLDER,pcs,35
SKU436,HEAVY DUTY RELAY,pcs,180
SKU437,RIBBON CABLE 10WAY,set,45
SKU438,COMPLETED SPARE UNITS,set,
SKU439,COMPLETED SPARE UNITS WITHOUT PHONE,pcs,
SKU442,FUSE - FUSE HOLDER COMPLETE WITH FUSE,pcs,35
SKU443,CABLE - TWO CORE,m,18
SKU444,CABLE - THREE CORE,m,28
SKU445,CABLE - FIVE CORE,m,48
SKU446,CABLE - SEVEN CORE,m,75
SKU447,CONN - BATTERY TERMINALS (POS & NEG PAIRS),pcs,45
SKU448,DIPPING WEIGHT,pcs,220
SKU450,PNEUMATCS - 1' DIAPHRAM EPDM,pcs,380
SKU453,PNEUMATICS - 12VDC COIL,pcs,450
SKU476,AC3 - CONTACTOR 220V,pcs,950
SKU477,REL - HEAVY DUTY RELAY 24V,pcs,180
SKU478,REL - HEAVY DUTY RELAY 12V,pcs,180
SKU479,SENSOR - PROXIMITY SENSOR,m,320
SKU480,PIPE - SPRAG TUBE 20MM,m,85
SKU481,PIPE - SPRAG TUBE 5MM,m,28
